Text Content,Code,has_code,len,aa,begauth,first_turn,last_turn,clen,tlen,cloc,tloc,tpos1,tpos2,ppau,npau
"JVMVRFY038 invokespecial on invalid target; class=die/verwandlung/GregorSamsa, ",Observed Bug Behaviour,False,79,NONE,True,True,False,0.09473684211,0.06766917293,0.125,0.002544529262,0.0,1.0,0.0,0.0001794494051
"Java -version output
--------------------

openjdk version ""11.0.5"" 2019-10-15
OpenJDK Runtime Environment AdoptOpenJDK (build 11.0.5+10)
Eclipse OpenJ9 VM AdoptOpenJDK (build openj9-0.17.0, JRE 11 Mac OS X amd64-64-Bit Compressed References 20191016_371 (JIT enabled, AOT enabled)",Observed Bug Behaviour,False,286,NONE,True,True,False,0.4526315789,0.3233082707,0.25,0.005089058524,0.0,1.0,0.0,0.0001794494051
"OpenJ9   - 77c1cf708
OMR      - 20db4fbc
JCL      - 2a7af5674b based on jdk-jdk-11.0.5+10)

Summary of problem
------------------

When building ODPi egeria  URL  master, the build fails on a maven step using the Apache RAT plugin 0.13 with

An API incompatibility was encountered while executing org.apache.rat:apache-rat-plugin:0.13:check: java.lang.VerifyError: JVMVRFY038 invokespecial on invalid target; class=die/verwandlung/GregorSamsa, method=template$dot$0(Lcom/sun/org/apache/xalan/internal/xsltc/DOM;Lcom/sun/org/apache/xml/internal/dtm/DTMAxisIterator;Lcom/sun/org/apache/xml/internal/serializer/SerializationHandler;I)V, pc=698
[ERROR]",Observed Bug Behaviour,False,658,NONE,True,True,False,1.0,0.7142857143,0.375,0.007633587786,0.0,1.0,0.0,0.0001794494051
"Exception Details:
[ERROR]   Location:
[ERROR]     die/verwandlung/GregorSamsa.template$dot$0(Lcom/sun/org/apache/xalan/internal/xsltc/DOM;Lcom/sun/org/apache/xml/internal/dtm/DTMAxisIterator;Lcom/sun/org/apache/xml/internal/serializer/SerializationHandler;I)V @698: JBinvokespecial
[ERROR]   Reason:",Observed Bug Behaviour,False,303,NONE,True,True,False,0.4105263158,0.2932330827,0.5,0.01017811705,0.0,1.0,0.0,0.0001794494051
[ERROR],Task Progress,False,7,NONE,True,True,False,0.01052631579,0.007518796992,0.625,0.01272264631,0.0,1.0,0.0,0.0001794494051
The method invoked via invokespecial is invalid.,Investigation and Exploration,False,48,NONE,True,True,False,0.07368421053,0.05263157895,0.75,0.01526717557,0.0,1.0,0.0,0.0001794494051
"This was when attempting to reproduce #7539 (my environment doesn't yet have the fix), but I had also cleaned up my build environment by removing all of my ~/.m2 - as well as pulled current updates from master.",Investigation and Exploration,False,210,NONE,True,True,False,0.3894736842,0.2781954887,0.875,0.01781170483,0.0,1.0,0.0,0.0001794494051
"I had previously only seen this failure with a nightly build

Diagnostic files
----------------

Full log from the exceptions is posted to https://gist.github.com/f640872cc6608793e8988f54c68363d7",Investigation and Exploration,False,200,NONE,True,True,False,0.2736842105,0.1954887218,1.0,0.0203562341,0.0,1.0,0.0,0.0001794494051
@planetf1 Do you have the .class file that causes the verifyerror?,Investigation and Exploration,False,66,MEMBER,False,False,False,0.6875,0.08270676692,0.5,0.02290076336,3.12e-05,0.999968832,0.0001794494051,0.0004950187461
We need to see the bytecodes to see why the check in the verifier is failing.,Investigation and Exploration,False,77,MEMBER,False,False,False,1.0,0.1203007519,1.0,0.02544529262,3.12e-05,0.999968832,0.0001794494051,0.0004950187461
The maven dependency I'm using is from https://repo1.maven.org/maven2/org/apache/rat/apache-rat-plugin/0.13/ ie with the jar at https://repo1.maven.org/maven2/org/apache/rat/apache-rat-plugin/0.13/apache-rat-plugin-0.13.jarapache-rat-plugin-0.13.jar,Investigation and Exploration,False,249,NONE,True,False,False,1.0,0.1052631579,0.5,0.02798982188,0.0001171462243,0.9998828538,0.0004950187461,5.15e-05
but I'm unclear which class specifically you need ?,Investigation and Exploration,False,51,NONE,True,False,False,0.5714285714,0.06015037594,1.0,0.03053435115,0.0001171462243,0.9998828538,0.0004950187461,5.15e-05
"The VerifyError is flagging a problem in:
CODE",Investigation and Exploration,True,47,MEMBER,False,False,False,0.5294117647,0.06766917293,0.5,0.03307888041,0.0001260919359,0.9998739081,5.15e-05,1.64e-05
So I need the CODE class so I can look at the bytecodes for the CODE method,Investigation and Exploration,True,75,MEMBER,False,False,False,1.0,0.1278195489,1.0,0.03562340967,0.0001260919359,0.9998739081,5.15e-05,1.64e-05
I found a few hits like https://stackoverflow.com/questions/49758534/java-lang-verifyerror-class-gregorsamsa-method-illegal-target-of-jump - or more helpfully perhaps http://www.jguru.com/faq/view.jsp?EID=1340163 ie this is in the XLST processor which I assume is bundled with the jvm?,Investigation and Exploration,False,285,NONE,True,False,False,1.0,0.2030075188,1.0,0.03816793893,0.0001289318444,0.9998710682,1.64e-05,5.31e-06
This is an AdoptOpenJDK build,Investigation and Exploration,False,29,NONE,True,False,False,1.0,0.03759398496,1.0,0.04071246819,0.0001298548146,0.9998701452,5.31e-06,0.0001565583648
also some explanations at https://github.com/eclipse/openj9/issues/6642,Investigation and Exploration,False,71,NONE,True,False,False,1.0,0.03759398496,1.0,0.04325699746,0.0001570469382,0.9998429531,0.0001565583648,0.0001463391504
"I found a few hits like https://stackoverflow.com/questions/49758534/java-lang-verifyerror-class-gregorsamsa-method-illegal-target-of-jump

That link shows an issue with branch/jump targets and should be fixed in [JDK10] URL .  According to the java -version above, you're using JDK11 so it may be related to the XLST processor but shouldn't be the same issue.",Investigation and Exploration,False,362,MEMBER,False,False,False,1.0,0.3684210526,0.5,0.04580152672,0.000182464119,0.9998175359,0.0001463391504,0.0001643249677
We need the bytecode to figure out what's going on,Investigation and Exploration,False,50,MEMBER,False,False,False,0.2040816327,0.07518796992,1.0,0.04834605598,0.000182464119,0.9998175359,0.0001463391504,0.0001643249677
Can you recommend how to get the byte code?,Investigation and Exploration,False,43,NONE,True,False,False,0.4285714286,0.06766917293,0.3333333333,0.05089058524,0.0002110051991,0.9997889948,0.0001643249677,0.0008114056243
Any ideas?,Social Conversation,False,10,NONE,True,False,False,0.09523809524,0.01503759398,0.6666666667,0.0534351145,0.0002110051991,0.9997889948,0.0001643249677,0.0008114056243
This class is being created dynamically by the XSLT processing as far as I can see (an area I'm unfamiliar with),Investigation and Exploration,False,112,NONE,True,False,False,1.0,0.1578947368,1.0,0.05597964377,0.0002110051991,0.9997889948,0.0001643249677,0.0008114056243
I don't know enough about the XSLT processing to know how to dump the generated files.,Investigation and Exploration,False,86,MEMBER,False,False,False,0.7619047619,0.1203007519,0.5,0.05852417303,0.0003519356568,0.9996480643,0.0008114056243,0.0007002205715
@hzongaro Are you aware of a CODE or other option to have the XSLT transformer dump the generated classes to disk?,Solution Discussion,True,114,MEMBER,False,False,False,1.0,0.1578947368,1.0,0.06106870229,0.0003519356568,0.9996480643,0.0008114056243,0.0007002205715
Another observation.,Social Conversation,False,20,NONE,True,False,False,0.09523809524,0.01503759398,0.1666666667,0.06361323155,0.0004735547369,0.9995264453,0.0007002205715,0.0002080632054
The exact stage of the build the failure happens on varies.,Observed Bug Behaviour,False,59,NONE,True,False,False,0.5238095238,0.08270676692,0.3333333333,0.06615776081,0.0004735547369,0.9995264453,0.0007002205715,0.0002080632054
Sometimes it may get all the way through (supposition - since I originally only noticed this on a nightly).,Observed Bug Behaviour,False,107,NONE,True,False,False,0.8571428571,0.1353383459,0.5,0.06870229008,0.0004735547369,0.9995264453,0.0007002205715,0.0002080632054
For example I ran now and it got 50% further.,Bug Reproduction,False,45,NONE,True,False,False,0.4761904762,0.07518796992,0.6666666667,0.07124681934,0.0004735547369,0.9995264453,0.0007002205715,0.0002080632054
"Still failing with the same report, managing RAT.",Bug Reproduction,False,49,NONE,True,False,False,0.380952381,0.06015037594,0.8333333333,0.0737913486,0.0004735547369,0.9995264453,0.0007002205715,0.0002080632054
"Our 'master' code is changing - a few updates constantly through the day, but it may also point to odd corruption perhaps?",Investigation and Exploration,False,122,NONE,True,False,False,1.0,0.1578947368,1.0,0.07633587786,0.0004735547369,0.9995264453,0.0007002205715,0.0002080632054
Only seen on MacOS so far.,Bug Reproduction,False,26,NONE,True,False,False,0.6,0.04511278195,0.5,0.07888040712,0.0005096925721,0.9994903074,0.0002080632054,0.0005207711664
"trying same code/version on linux, but not seen yet.",Bug Reproduction,False,52,NONE,True,False,False,1.0,0.07518796992,1.0,0.08142493639,0.0005096925721,0.9994903074,0.0002080632054,0.0005207711664
"Dan @DanHeidinga, I'm not aware of a CODE option or other JVM option that can be specified to have the XSLT processor dump the generated classes.",Investigation and Exploration,True,145,MEMBER,False,False,False,0.7222222222,0.1954887218,0.1428571429,0.08396946565,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
The only way I'm aware of doing it is programmatically.,Investigation and Exploration,False,55,MEMBER,False,False,False,0.2777777778,0.07518796992,0.2857142857,0.08651399491,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
"There is a [CODE](https://xml.apache.org/xalan-j/apidocs/javax/xml/transform/TransformerFactory.html#setAttribute(java.lang.String,%20java.lang.Object)) method that can be used to specify settings on the XSLT processor.",Investigation and Exploration,True,219,MEMBER,False,False,False,0.6944444444,0.1879699248,0.4285714286,0.08905852417,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
"In particular, with XSLTC, there are attributes that can be used to indicate that generated classes should be written to a particular directory or a jar file - in particular [CODE, CODE, CODE](https://xml.apache.org/xalan-j/xsltc_usage.html#api-attributes).",Investigation and Exploration,True,257,MEMBER,False,False,False,1.0,0.2706766917,0.5714285714,0.09160305344,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
The difficulty of course is that @planetf1 might not have access to the source that's processing the XSLT stylesheet in order to set those attributes on the CODE instance.,Investigation and Exploration,True,171,MEMBER,False,False,False,0.8055555556,0.2180451128,0.7142857143,0.0941475827,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
"If they do not, they might have to do something like override the default CODE implementation by specifying CODE.",Investigation and Exploration,True,113,MEMBER,False,False,False,0.5277777778,0.1428571429,0.8571428571,0.09669211196,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
"This implementation could delegate to CODE, but would also call CODE on the underlying implementation to request that the classes by written out, using some sort of sequence number on the destination directories and/or jar names.",Investigation and Exploration,True,229,MEMBER,False,False,False,1.0,0.2706766917,1.0,0.09923664122,0.0006001436568,0.9993998563,0.0005207711664,0.003847329842
"Thanks for the update, but I think that will be rather tricky.",Social Conversation,False,62,NONE,True,False,False,0.2,0.09022556391,0.5,0.1017811705,0.001268374119,0.9987316259,0.003847329842,0.0003249710183
"Can we dump a core file when the VerifyError occurs and get the bytecode that way?

CODE",Investigation and Exploration,True,90,CONTRIBUTOR,False,False,False,1.0,0.1353383459,1.0,0.106870229,0.0013248173,0.9986751827,0.0003249710183,0.01873100248
Typically I cannot get a failure this morning.,Bug Reproduction,False,46,NONE,True,False,False,0.3103448276,0.06766917293,0.5,0.1094147583,0.004578145442,0.9954218546,0.01873100248,0.002785757849
"I've set MAVEN_OPTS with the above, so if/when I get a failure hopefully I'll find a core (also added a ulimit -c unlimited in my build invocation).",Investigation and Exploration,False,148,NONE,True,False,False,1.0,0.2180451128,1.0,0.1119592875,0.004578145442,0.9954218546,0.01873100248,0.002785757849
"After around 8 attempts I had another failure
with
CODE
CODE
Also CODE shows
CODE",Bug Reproduction,True,86,NONE,True,False,False,0.7142857143,0.1503759398,0.5,0.1145038168,0.005061994847,0.9949380052,0.002785757849,0.005541266823
"However I can't see any core file in the current directory from where the sw was launched, nor the relevant maven directory nor indeed anywhere down the tree",Investigation and Exploration,False,157,NONE,True,False,False,1.0,0.2105263158,1.0,0.1170483461,0.005061994847,0.9949380052,0.002785757849,0.005541266823
Can you set the CODE environment variable to CODE?,Solution Discussion,True,50,MEMBER,False,False,False,1.0,0.06766917293,0.5,0.1195928753,0.006024439826,0.9939755602,0.005541266823,0.0006940890429
I'm not sure how MAVEN_OPTS gets passed through,Solution Discussion,False,47,MEMBER,False,False,False,0.8888888889,0.06015037594,1.0,0.1221374046,0.006024439826,0.9939755602,0.005541266823,0.0006940890429
"I will try that too, though I've used it for other JVM options and it appears to pass through fine (or through JAVA_TOOL_OPTIONS).",Solution Discussion,False,130,NONE,True,False,False,1.0,0.1804511278,0.5,0.1246819338,0.006144993941,0.9938550061,0.0006940890429,0.03656966316
But will set OPENJ9_JAVA_OPTIONS,Solution Discussion,False,32,NONE,True,False,False,0.1666666667,0.03007518797,1.0,0.1272264631,0.006144993941,0.9938550061,0.0006940890429,0.03656966316
"Needed to do a build today and hit the issue again - those options are set but I still see no evidence of a core?
CODE",Solution Discussion,True,119,NONE,True,False,False,1.0,0.1954887218,1.0,0.1297709924,0.01249666222,0.9875033378,0.03656966316,6.54e-06
CODE,Investigation and Exploration,True,4,NONE,True,False,False,1.0,0.007518796992,1.0,0.1323155216,0.01249779818,0.9875022018,6.54e-06,0.0001921212309
"New information - I just hit the same issue on linux (Ubuntu 19.10) - though I did not have the same environment set there to capture debug:

Again
CODE
CODE",Bug Reproduction,True,161,NONE,True,False,False,1.0,0.2330827068,1.0,0.1348600509,0.01253116711,0.9874688329,0.0001921212309,9.24e-05
No sign of cores on linux either,Investigation and Exploration,False,32,NONE,True,False,False,1.0,0.05263157895,1.0,0.1374045802,0.01254721259,0.9874527874,9.24e-05,0.002394157552
Try just CODE without the filter.,Investigation and Exploration,True,33,CONTRIBUTOR,False,False,False,0.25,0.04511278195,0.5,0.1399491094,0.01296304619,0.9870369538,0.002394157552,0.003545658632
"I don't think any other exceptions would be thrown from the VM normally, and the CODE may be a ClassFormatError instead of a VerifyError.",Investigation and Exploration,True,137,CONTRIBUTOR,False,False,False,1.0,0.1804511278,1.0,0.1424936387,0.01296304619,0.9870369538,0.002394157552,0.003545658632
"Tried that, and this time my maven build failed in 27s which is pretty impressive.",Bug Reproduction,False,82,NONE,True,False,False,0.46875,0.1127819549,0.1666666667,0.1450381679,0.01357888034,0.9864211197,0.003545658632,0.0002252314856
Same error.,Observed Bug Behaviour,False,11,NONE,True,False,False,0.0625,0.01503759398,0.3333333333,0.1475826972,0.01357888034,0.9864211197,0.003545658632,0.0002252314856
No sign of a core.,Investigation and Exploration,False,18,NONE,True,False,False,0.15625,0.03759398496,0.5,0.1501272265,0.01357888034,0.9864211197,0.003545658632,0.0002252314856
This was on ubuntu.,Bug Reproduction,False,19,NONE,True,False,False,0.125,0.03007518797,0.6666666667,0.1526717557,0.01357888034,0.9864211197,0.003545658632,0.0002252314856
"Clearly the RAT plugin is the cause, yet I've never seen this with hotspot, nor with earlier J9 builds which I've been using intermittently since macOS came out from adoptopenjdk.",Investigation and Exploration,False,179,NONE,True,False,False,1.0,0.2406015038,0.8333333333,0.155216285,0.01357888034,0.9864211197,0.003545658632,0.0002252314856
"The version of the rat plugin is current, and has been around for about a year.",Social Conversation,False,79,NONE,True,False,False,0.5,0.1203007519,1.0,0.1577608142,0.01357888034,0.9864211197,0.003545658632,0.0002252314856
This is a ClassFormatError.,Observed Bug Behaviour,False,27,MEMBER,False,False,False,0.25,0.03007518797,0.5,0.1628498728,0.01361800008,0.9863819999,0.0002252314856,0.002938228528
Can you try with CODE in the OPENJ9_JAVA_OPTIONS?,Investigation and Exploration,True,49,MEMBER,False,False,False,0.5,0.06015037594,0.75,0.165394402,0.01361800008,0.9863819999,0.0002252314856,0.002938228528
We may need to hack a VM that dumps the classfile on a verifyerror/classformaterror....,Investigation and Exploration,False,87,MEMBER,False,False,False,1.0,0.1203007519,1.0,0.1679389313,0.01361800008,0.9863819999,0.0002252314856,0.002938228528
"I expect that if CODE didn't work, then the version with the filter won't work either.",Investigation and Exploration,True,86,CONTRIBUTOR,False,False,False,1.0,0.1203007519,0.25,0.1704834606,0.01412833163,0.9858716684,0.002938228528,0.0009773656664
The one without the filter should dump a core for any systhrow.,Investigation and Exploration,False,63,CONTRIBUTOR,False,False,False,0.75,0.09022556391,0.5,0.1730279898,0.01412833163,0.9858716684,0.002938228528,0.0009773656664
Another possibility is the core is going to an unexpected place.,Investigation and Exploration,False,64,CONTRIBUTOR,False,False,False,0.6875,0.08270676692,0.75,0.1755725191,0.01412833163,0.9858716684,0.002938228528,0.0009773656664
"If the -Xdump command triggers, there are messages printed to stderr like the following.
CODE",Investigation and Exploration,True,94,CONTRIBUTOR,False,False,False,1.0,0.1203007519,1.0,0.1781170483,0.01412833163,0.9858716684,0.002938228528,0.0009773656664
"I don't see any messages like this, but of course I am running a maven build composed of 200+ modules, and within that the rat plugin is being invoked >200 times.",Investigation and Exploration,False,162,NONE,True,False,False,1.0,0.2330827068,0.1428571429,0.1806615776,0.01429808716,0.9857019128,0.0009773656664,0.000475806623
The failure seems to happen randomly.,Bug Reproduction,False,37,NONE,True,False,False,0.1935483871,0.04511278195,0.2857142857,0.1832061069,0.01429808716,0.9857019128,0.0009773656664,0.000475806623
I have no idea if anything about that environment is masking properties sent to the jvm.,Investigation and Exploration,False,88,NONE,True,False,False,0.5161290323,0.1203007519,0.4285714286,0.1857506361,0.01429808716,0.9857019128,0.0009773656664,0.000475806623
So there's a fair gap between the user perceived problem and the nitty gritty in the jvm.,Investigation and Exploration,False,89,NONE,True,False,False,0.5483870968,0.1278195489,0.5714285714,0.1882951654,0.01429808716,0.9857019128,0.0009773656664,0.000475806623
"I can try to repeatedly call rat directly, but unsure I'll be able to repro.",Bug Reproduction,False,76,NONE,True,False,False,0.4838709677,0.1127819549,0.7142857143,0.1908396947,0.01429808716,0.9857019128,0.0009773656664,0.000475806623
